4.05	0	0	0	0
4.05	0	0.15	0	0
4.05	0	0.3	0	0
4.05	0	0.45	0	0
4.05	0	0.6	0	0
4.05	0	0.75	0	0
4.05	0	0.9	0	0
4.05	0	1.05	0	0
4.05	0	1.2	0	0
4.05	0	1.35	0	0
4.05	0	1.5	0	0
4.05	0	1.65	0	0
4.05	0	1.8	0	0
4.05	0	1.95	0	0
4.05	0	2.1	0	0
4.05	0	2.25	0	0
4.05	0	2.4	0	0
4.05	0	2.55	0	0
4.05	0	2.7	0	0
4.05	0	2.85	0	0
4.05	0	3	0	0
4.05	0	3.15	0	0
4.05	0	3.3	0	0
4.05	0	3.45	0	0
4.05	0	3.6	0	0
4.05	0	3.75	0	0
4.05	0	3.9	0	0
4.05	0	4.05	0	0
4.05	0	4.2	0	0
4.05	0	4.35	0	0
4.05	0	4.5	0	0
4.05	0	4.65	0	0
4.05	0	4.8	0	0
4.05	0	4.95	0	0
4.05	0	5.1	0	0
4.05	0	5.25	0	0
4.05	0	5.4	0	0
4.05	0	5.55	0	0
4.05	0	5.7	0	0
4.05	0	5.85	0	0
4.05	0	6	0	0
4.05	0	6.15	0	0
4.05	0	6.3	0	0
4.05	0	6.45	0	0
4.05	0	6.6	0	0
4.05	0	6.75	0	0
4.05	0	6.9	0	0
4.05	0	7.05	0	0
4.05	0	7.2	0	0
4.05	0	7.35	0	0
4.05	0	7.5	0	0
4.05	0	7.65	0	0
4.05	0	7.8	0	0
4.05	0	7.95	0	0
4.05	0	8.1	0	0
4.05	0	8.25	0	0
4.05	0	8.4	0	0
4.05	0	8.55	0	0
4.05	0	8.7	0	0
4.05	0	8.85	0	0
4.05	0	9	0	0
4.05	0	9.15	0	0
4.05	0	9.3	0	0
4.05	0	9.45	0	0
4.05	0	9.6	0	0
4.05	0	9.75	0	0
4.05	0	9.9	0	0
4.05	0	10.05	0	0
4.05	0	10.2	0	0
4.05	0	10.35	0	0
4.05	0	10.5	0	0
4.05	0	10.65	0	0
4.05	0	10.8	0	0
4.05	0	10.95	0	0
4.05	0	11.1	0	0
4.05	0	11.25	0	0
4.05	0	11.4	0	0
4.05	0	11.55	0	0
4.05	0	11.7	0	0
4.05	0	11.85	0	0
4.05	0	12	0	0
4.05	0.15	0	0	0
4.05	0.15	0.15	0	0
4.05	0.15	0.3	0	0
4.05	0.15	0.45	0	0
4.05	0.15	0.6	0	0
4.05	0.15	0.75	0	0
4.05	0.15	0.9	0	0
4.05	0.15	1.05	0	0
4.05	0.15	1.2	0	0
4.05	0.15	1.35	0	0
4.05	0.15	1.5	0	0
4.05	0.15	1.65	0	0
4.05	0.15	1.8	0	0
4.05	0.15	1.95	0	0
4.05	0.15	2.1	0	0
4.05	0.15	2.25	0	0
4.05	0.15	2.4	0	0
4.05	0.15	2.55	0	0
